Barcode,Inv no,SID,PO,ASIN,Inv Qty,Rec Qty,Mtc Qty,Mtc Inv,Mtc ASIN,Mtc PO,Remarks,Date,CP
30001163952435,9527199585SCR,5554767014973.0,2B8F4FRU,B0BHHY75T6,96.0,84.0,84.0,9527199585,B0BHHY75T6,2B8F4FRU,Inv Qty:96.Received Qty:84- Shortage of 12 Units,2026-02-13 17:53:28,"Within 10% CP | Claiming CP: 405.16, Matched CP: 405.16 (range: 364.64–445.68)"
,,5554767014973.0,5OKZLD5W,B0BHHY75T6,,96.0,68.0,9527200210,B0BHHY75T6,5OKZLD5W,,2026-02-13 16:47:22,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 405.16 (range: 364.64–445.68)"
,,,,,,,28.0,9527197933SCR,B0022H79MG,82GKXDNK,,,Parent ASIN CP: 405.16 | Sub-Matched CP: N/A
30001163953579,9527200210,5609086014973.0,5OKZLD5W,B0BHHY75T6,68.0,68.0,38.0,9527185027SCRSCRSCR,B08PQ6VWPT,8OMF6YFQ,,2026-02-14 10:14:40,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 391.90 (range: 364.64–445.68)"
,,,,,,,18.0,9527194660SCR,B0C81G1K5W,3CPT337S,,,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 396.93 (range: 364.64–445.68)"
,,,,,,,12.0,9527188912SCR,B09L7YNK87,4S9L6GZG,,,"Within 10% CP | Parent ASIN CP: 405.16, Sub-Matched CP: 379.89 (range: 364.64–445.68)"
30001163904809,9527185027SCRSCRSCR,5423605014973.0,8OMF6YFQ,B08PQ6VWPT,600.0,600.0,264.0,9527180297,B08PQ6VWPT,6DTSHSLA,,2026-01-18 21:40:27,"Within 10% CP | Parent ASIN CP: 391.90, Sub-Matched CP: 391.90 (range: 352.71–431.09)"
,,,,,,,336.0,9527176648,B00649B4EM,2OMLLHMK,,,"Within 10% CP | Parent ASIN CP: 391.90, Sub-Matched CP: 416.31 (range: 352.71–431.09)"
30001162332702,9527176648,5363140014973.0,2OMLLHMK,B00649B4EM,2532.0,1448.0,1448.0,Self Matching,,,Inv Qty:2532.Received Qty:1448- Shortage of 1084 Units,2026-01-06 09:24:32,
,,,,,,,1448.0,9527176648,B00649B4EM,2OMLLHMK,,,"Within 10% CP | Parent ASIN CP: 416.31, Sub-Matched CP: 416.31 (range: 374.68–457.94)"
30001162209332,9527194660SCR,5485770014973.0,3CPT337S,B0C81G1K5W,18.0,18.0,18.0,9527185196SCR,B09KHFWNBF,6JQZH6KN,,2026-02-04 00:04:52,"Within 10% CP | Parent ASIN CP: 396.93, Sub-Matched CP: 368.68 (range: 357.24–436.62)"
30001163904793,9527185196SCR,5448401014973.0,6JQZH6KN,B09KHFWNBF,672.0,636.0,635.0,9527185196,B09KHFWNBF,6JQZH6KN,Found 1 number of X adjustments,2026-01-19 04:55:41,"Within 10% CP | Parent ASIN CP: 368.68, Sub-Matched CP: 368.68 (range: 331.81–405.55)"
30001162180440,9527188912SCR,5470419014973.0,4S9L6GZG,B09L7YNK87,72.0,72.0,58.0,9527188912,B09L7YNK87,4S9L6GZG,,2026-01-24 08:40:54,"Within 10% CP | Parent ASIN CP: 379.89, Sub-Matched CP: 379.89 (range: 341.90–417.88)"
,,,,,,,14.0,9527175355SCR,B0C81GG8N6,6YZWUP6H,,,"Within 10% CP | Parent ASIN CP: 379.89, Sub-Matched CP: 396.93 (range: 341.90–417.88)"
,,,,,,,14.0,9527175355SCR,B0C81GG8N6,6YZWUP6H,,,"Within 10% CP | Parent ASIN CP: 379.89, Sub-Matched CP: 396.93 (range: 341.90–417.88)"
30001162287699,9527175355SCR,5361556014973.0,6YZWUP6H,B0C81GG8N6,18.0,18.0,18.0,9527165094SCR,B09Z6TJP7Y,6WO2PMDD,,2026-01-02 21:57:22,"Within 10% CP | Parent ASIN CP: 396.93, Sub-Matched CP: 422.65 (range: 357.24–436.62)"
30001168663404,9527165094SCR,5225712014973.0,6WO2PMDD,B09Z6TJP7Y,2760.0,2492.0,2492.0,9527165094,B09Z6TJP7Y,6WO2PMDD,,2025-12-19 12:45:42,"Within 10% CP | Parent ASIN CP: 422.65, Sub-Matched CP: 422.65 (range: 380.38–464.92)"
30001163992950,9527197933SCR,5572535014973.0,82GKXDNK,B0022H79MG,264.0,,,Cross PO Not deteted even there is cross po,,,Inv Qty:264.Received Qty:0- Shortage of 264 Units,,
30001162209332,9527194660SCR,5485770014973.0,3CPT337S,B0C81G1K5W,18.0,18.0,18.0,9527185196SCR,B09KHFWNBF,6JQZH6KN,Why this line priented incorrectly,2026-02-04 00:04:52,"Within 10% CP | Parent ASIN CP: 396.93, Sub-Matched CP: 368.68 (range: 357.24–436.62)"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Feedback  and Changed,,,,,,,,,,,,
1- Improvement,I am happy that Now Cross PO detection is working properly at least at Claiming shipment level But keep in mind that Cross PO detection Should be always For Claiming shipment level and all the matching shipment level  and Like it should cheque for cross views Where there is shortage Either in claiming shipment or in matching shipment So this is what we are missing in cross po because I found that it detected cross view correctly at a claiming shipment level But when it came to in loop in matching Did not find did not able to Detect the Cross PO Got it And I am writing where it did not able to find that cross view This is the first change we need to make ,,,,,,,,,,,,
2- Improvement,I also see that For claiming a It given wrong invoiced quantity But the actual invoiced quantity in claim sheet is clearly mentioned as 180 units But in investigation it is given 96 units Which is incorrect so what here we want Whenever we investigate on any claiming agent it should take innovative quantity from claims heet itself Ok   ,,,,,,,,,,,,
3- Improvement,And the third improvement what I want is that Like here wherever it is finding shortage entire row is being highlighted with red colour Which is like making Like difficulty Or like it is like in very bright colour dat colour is the colour is very bright ok So instead of violating entire row It would be better to only highlight Only remark column Got it like wherever it is shortage wherever there is difference in build quantity and received quantity Like a received quantity is less than invisible quantity There it should give in remark its remark and its should highlight In remark column itself Instead of complete rho Got it So this makes that Like We will come to know exactly how clean our investigation sheet will look like ok And I request you to like reduce the brightness of that highlight colour red colour ok ,,,,,,,,,,,,
4- Improvement,And this is the 4th improvement that what I personally recommend only if possible Got it What I Like wherever we are changing invoice or quantity And clicking confirm button Okay then what should what it needs to happen is like It should change a remark Also automatically like for example while investigating we found that our invoice hood quantity is 50 received quantity is 100 Okay which seems to be like there is no shortage And in remark it will reflect like same inverse quantity 50 received quantity 100 and shortages are nothing there Got it but When we give correct invoice number and as in in our lookup invoice quantity We found there that the invoice quantity is 200 ok And we updated our live live panel with a 200 units in invoice quantity column got it then what should it and we clicked on confirm then what it should need to do Parallelly it should change the remark also according to that got it like as I have changed a inverse quantity from 50 to 200 It should also change remark from in remark invoice quantity 50 to 200 then it will be 200 received innovative quantity and 100 received quantity which means remaining 100 units are short received Ok like this should happen Like if it is possible please implement this also and let me know how you are implementing this got it ,,,,,,,,,,,,
,,,,,,,,,,,,,
Important,It is important that you don't change Anything in the code but just I need these improvements like these minimal changes got it like do not change entire code base or everything just rectify these mistakes got it Because currently cross view detection is working good and bending investigation tab that panel is also working good and now it is able to grab a curriculum quantity Got it Like everything is working good and we are getting our output pile also we are the one miss I found is like consider it as 5th improvement When we are pulling out a unique summary like unique entries why it is only giving 1 entry Because if you see in investigation sheet there are multiple entries with the combination of barcode invoice number shipment id like sid poas in invoice quantity received quantity Got it and in a missing quantity place we need to obviously add formula like inversed quantity minus received quantity Got it when there are multiple unique entries in our investigation why in unique summary there is only one entry Got it even cheque for that miss also got it And rest keep the code everything as it is got it unless It is important to choose something Or else before changing you would need to get it verified from me Because this minimal improvements can be done easily instead of changing entire code ,,,,,,,,,,,,
